country,Area,GDP,Population,Current account balance,Inflation rate
Afghanistan,647500,18.876,37.209,2.209,2.3
Albania,28748,15.276,2.87,-1.166,1.4
Algeria,2381740,169.267,43.424,-17.112,2
Angola,1246700,89.417,30.128,5.132,17.1
Antigua and Barbuda,443,1.662,0.097,-0.108,1.5
Argentina,2766890,444.458,44.939,-3.995,53.5
Armenia,29800,13.673,2.969,-1.118,1.4
Aruba,193,2.888,0.112,0.06,4.3
Australia,7686850,1387.085,25.522,8.267,1.6
Austria,83870,446.309,8.859,11.71,1.5
Azerbaijan,86600,48.048,9.982,4.365,2.7
"Bahamas, The",13940,13.579,0.381,0.084,1.3
Bahrain,665,38.574,1.484,-0.794,1
Bangladesh,144000,302.525,166.586,-5.102,5.5
Barbados,431,5.209,0.287,-0.162,4.1
Belarus,207600,63.085,9.475,-1.166,5.6
Belgium,30528,529.665,11.456,-6.508,1.2
Belize,22966,1.837,0.408,-0.177,0.2
Benin,112620,14.392,11.814,-0.624,-0.9
Bhutan,47000,2.5,0.745,-0.562,2.6
Bolivia,1098580,41.193,11.55,-1.362,1.8
Bosnia and Herzegovina,51129,19.856,3.301,-0.707,0.6
Botswana,600370,18.474,2.377,-1.404,2.8
Brazil,8511965,1839.077,210.147,-50.927,3.7
Brunei Darussalam,5770,13.47,0.46,0.895,-0.4
Bulgaria,110910,67.931,6.951,2.745,2.5
Burkina Faso,274200,15.746,20.326,-0.751,-3.2
Burundi,678500,3.111,11.529,-0.556,-0.7
Cabo Verde,27830,1.982,0.55,0.006,1.1
Cambodia,181040,26.728,16.494,-4.232,2
Cameroon,475440,38.863,25.506,-1.693,2.5
Canada,9984670,1736.426,37.527,-35.428,1.9
Central African Republic,622984,2.277,4.745,-0.112,2.7
Chad,1284000,10.934,15.947,-0.533,-1
Chile,756950,282.254,19.107,-10.853,2.3
"China, People's Republic of",9596960,14401.726,1400.05,141.335,2.9
Colombia,1138910,323.561,50.374,-13.74,3.5
Comoros,2170,1.19,0.874,-0.045,3.7
"Congo, Dem. Rep. of the",2345410,49.816,97.879,-1.882,4.7
"Congo, Republic of ",342000,12.542,4.568,0.442,2.2
Costa Rica,51100,62.142,5.075,-1.475,2.1
Croatia,56542,60.422,4.068,1.678,0.8
Cyprus,9250,24.568,0.876,-1.65,0.6
Czech Republic,78866,250.681,10.65,-0.93,2.9
Denmark,43094,347.031,5.806,27.103,0.7
Djibouti,23000,3.346,1.078,0.435,3.3
Dominica,754,0.588,0.071,-0.16,1.6
Dominican Republic,48730,89.032,10.358,-1.205,1.8
Ecuador,283560,107.436,17.268,-0.112,0.3
Egypt,1001450,302.335,99.333,-10.894,13.9
El Salvador,21040,27.023,6.454,-0.558,0.1
Equatorial Guinea,28051,11.819,1.36,-0.695,1.2
Eritrea,121320,1.982,3.497,0.24,-16.4
Estonia,45226,31.475,1.325,0.832,2.3
Eswatini,1127127,4.587,1.115,0.194,2.6
Ethiopia,1399,92.796,96.586,-4.934,15.8
Fiji,18270,5.407,0.895,-0.697,1.8
Finland,338145,269.327,5.518,-1.236,1.1
France,547030,2715.818,64.822,-18.117,1.3
Gabon,267667,16.875,2.08,-0.047,2
"Gambia, The",11300,1.818,2.349,-0.096,7.1
Georgia,69700,17.743,3.724,-0.897,4.9
Germany,357021,3861.55,83.093,273.171,1.3
Ghana,239460,66.998,30.168,-1.835,7.2
Greece,131940,209.875,10.725,-4.4,0.5
Grenada,344,1.218,0.109,-0.193,0.6
Guatemala,108890,76.694,17.613,1.854,3.7
Guinea,245857,13.797,13.627,-1.89,9.5
Guinea-Bissau,36120,1.44,1.776,-0.123,0.2
Guyana,214970,5.174,0.785,-1.754,2.1
Haiti,27750,8.705,11.263,-0.123,17.3
Honduras,112090,24.921,9.77,-0.343,4.4
Hong Kong SAR,1092,365.711,7.521,22.602,2.9
Hungary,93030,160.957,9.773,-1.362,3.4
Iceland,103000,24.224,0.357,1.498,3
India,3287590,2868.93,1367.602,-24.55,4.8
Indonesia,1919440,1120.141,266.912,-30.415,2.8
Iran,1648000,583.698,83.269,6.551,41
Iraq,437072,230.143,39.115,2.583,-0.2
Ireland,70280,398.469,4.95,-45.237,0.9
Israel,20770,394.652,9.051,13.411,0.8
Italy,301230,2001.466,60.36,59.216,0.6
Jamaica,10991,15.884,2.726,-0.319,3.9
Japan,377835,5079.916,126.19,184.287,0.5
Jordan,92300,44.566,10.07,-1.005,0.7
Kazakhstan,2717300,181.667,18.632,-6.497,5.2
Kenya,582650,95.41,47.6,-5.552,5.2
Kiribati,811,0.195,0.117,0.062,-1.9
Kuwait,17820,135.387,4.75,12.788,1.1
Kyrgyz Republic,198500,8.455,6.389,-0.476,1.1
Lao P.D.R.,236800,19.059,7.163,-1.227,3.3
Latvia,64589,34.121,1.92,-0.182,2.7
Lebanon,10400,52.522,6.856,-14.416,2.9
Lesotho,30355,2.428,2.048,-0.203,5.2
Liberia,111370,3.176,4.578,-0.684,27
Libya,1759540,39.832,6.578,-0.119,4.6
Lithuania,65200,54.225,2.783,2.313,2.2
Luxembourg,2586,71.113,0.614,3.186,1.7
Macao SAR,28,53.859,0.68,18.744,2.8
Madagascar,587040,14.124,26.889,-0.323,5.6
Malawi,118480,7.663,20.289,-1.314,9.4
Malaysia,329750,364.684,32.581,12.275,0.7
Maldives,300,5.764,0.372,-1.498,1.3
Mali,1240000,17.324,19.095,-0.727,-2.9
Malta,316,14.991,0.494,1.44,1.5
Marshall Islands,11854,0.237,0.055,0.019,1.2
Mauritania,1030700,7.6,4.058,-0.805,2.3
Mauritius,2040,14.048,1.267,-0.762,0.5
Mexico,1972550,1258.206,127.576,-4.351,3.6
"Micronesia, Fed. States of",702,0.414,0.102,0.066,1.9
Moldova,33843,11.956,2.682,-1.058,4.8
Mongolia,1564116,13.853,3.297,-2.162,7.3
Montenegro,102,5.495,0.623,-0.833,0.4
Morocco,446550,118.567,35.587,-4.92,0.2
Mozambique,801590,15.195,31.157,-3.092,2.8
Namibia,825418,12.473,2.459,-0.284,3.7
Nauru,21,0.119,0.013,0.012,4.3
Nepal,147181,30.69,28.455,-2.369,4.6
Netherlands,41526,907.151,17.231,90.238,2.7
New Zealand,268680,205.217,4.925,-6.963,1.6
Nicaragua,129494,12.535,6.528,0.756,5.4
Niger,1267000,12.912,23.311,-1.625,-2.5
Nigeria,923768,448.12,200.964,-17.016,11.4
North Macedonia ,477,12.698,2.079,-0.351,0.8
Norway,323802,403.336,5.357,16.523,2.2
Oman,212460,76.332,4.194,-3.476,0.1
Pakistan,803940,276.114,204.729,-13.434,6.7
Palau,458,0.28,0.017,-0.075,0.6
Panama,78200,66.801,4.219,-3.5,-0.4
Papua New Guinea,462840,24.809,8.601,5.496,3.7
Paraguay,406750,37.433,7.153,-0.375,2.8
Peru,1285220,230.738,33.162,-3.14,2.1
Philippines,300000,376.795,107.29,-0.464,2.5
Poland,312685,592.401,37.973,2.433,2.3
Portugal,92391,237.714,10.276,-0.202,0.3
Qatar,11437,175.838,2.795,4.229,-0.6
Romania,237500,250.076,19.405,-11.401,3.8
Russian Federation,17075200,1702.496,146.749,65.337,4.5
Rwanda,26338,10.123,12.4,-0.935,2.4
Saint Kitts and Nevis,261,1.066,0.057,-0.022,-0.2
Saint Lucia,616,2.122,0.18,0.112,0.5
Saint Vincent and the Grenadines,389,0.824,0.11,-0.082,0.9
Samoa,2944,0.851,0.201,0.019,2.2
San Marino,61,1.602,0.034,0.012,1
Saudi Arabia,1960582,792.967,34.082,46.949,-2.1
Senegal,196190,23.579,16.308,-1.812,1
Serbia,88361,51.409,6.964,-3.539,1.9
Seychelles,455,1.651,0.096,-0.275,1.8
Sierra Leone,71740,4.213,7.815,-0.569,14.8
Singapore,693,372.066,5.704,63.138,0.6
Slovak Republic,48845,105.434,5.45,-3.03,2.8
Slovenia,20273,53.748,2.068,3.048,1.6
Solomon Islands,28450,1.598,0.641,-0.154,1.8
South Africa,1219912,351.354,58.775,-10.599,4.1
Spain,504782,1394.27,46.486,27.489,0.7
Sri Lanka,65610,83.996,21.803,-1.808,4.3
Sudan,2505810,33.359,43.222,-5.04,51
Suriname,163270,3.697,0.597,-0.41,4.4
Sweden,449964,530.884,10.328,22.308,1.6
Switzerland,41290,704.825,8.545,81.183,0.4
Syria,185180,no data,no data,no data,no data
Taiwan Province of China,35980,610.692,23.603,65.141,0.5
Tajikistan,143100,8.117,9.292,-0.185,7.8
Tanzania,945087,60.81,56.322,-1.39,3.4
Thailand,514000,543.564,69.626,38.358,0.7
Togo,56785,5.459,8.084,-0.233,0.7
Tonga,748,0.517,0.1,-0.025,3.3
Trinidad and Tobago,5128,24.1,1.395,1.168,1
Tunisia,163610,38.797,11.783,-3.284,6.7
Turkey,780580,760.94,83.155,8.895,15.2
Turkmenistan,488100,45.231,5.856,2.296,5.1
Tuvalu,26,0.047,0.011,0.006,2.2
Uganda,236040,36.484,39.823,-2.367,2.9
Ukraine,603700,154.694,41.733,-4.208,7.9
United Arab Emirates,82880,421.142,10.749,35.372,-1.9
United Kingdom,244820,2830.764,66.797,-113.451,1.8
United States,9631420,21433.225,328.461,-480.225,1.8
Uruguay,176220,56.686,3.519,0.35,7.9
Uzbekistan,447400,57.921,33.256,-3.228,14.5
Vanuatu,12200,0.933,0.293,0.122,2.7
Venezuela,912050,63.96,27.817,5.352,19906
Vietnam,329560,329.537,96.462,11.261,2.8
West Bank and Gaza,5860,17.051,4.977,-1.834,1.6
Yemen,527970,22.568,31.648,-0.888,10
Zambia,752614,24.156,18.321,0.146,9.8
Zimbabwe,390580,18.699,14.905,0.208,255.3